Threshold,Macro_F1,Precision,Recall,MCC,Accuracy,Precisions,Recalls,F1s,Support
0.2,0.7166350598553988,0.7347328244274809,0.7020894998244118,0.43560091405285684,0.8986814712005552,[0.53435115 0.9351145 ],[0.4516129 0.9525661],[0.48951049 0.94375963],[ 155 1286]
0.25,0.8361620909242806,0.8777302145215982,0.8063529960865975,0.680349271862989,0.9201943095072866,[0.82122905 0.93423138],[0.63913043 0.97357556],[0.71882641 0.95349778],[ 230 1211]
0.3,0.8307761865337302,0.8564875264137257,0.8116390956713537,0.6666196827267892,0.8889659958362248,[0.80442804 0.90854701],[0.67076923 0.95250896],[0.73154362 0.93000875],[ 325 1116]
0.35,0.8323899914886913,0.8642077424259458,0.8129758700802797,0.675242875047889,0.8688410825815406,[0.85545723 0.87295826],[0.6744186  0.95153314],[0.75422627 0.91055372],[ 430 1011]
0.39999999999999997,0.860717573629494,0.8704554313929314,0.8537339636219261,0.7239963206864856,0.8730048577376822,[0.86278586 0.878125  ],[0.78007519 0.92739274],[0.81934847 0.90208668],[532 909]
0.44999999999999996,0.8789147455415398,0.8888299591869722,0.874834443535507,0.7635361455275909,0.8820263705759889,[0.92035398 0.85730594],[0.80620155 0.94346734],[0.85950413 0.89832536],[645 796]
0.49999999999999994,0.9007442387845177,0.9033520903430405,0.9022786006325696,0.8056299757715577,0.9007633587786259,[0.94526627 0.86143791],[0.85771812 0.94683908],[0.89936664 0.90212183],[745 696]
0.5499999999999999,0.8883003646184344,0.8851381217630767,0.8936645115890399,0.7787559581747848,0.8910478834142956,[0.93325093 0.83702532],[0.87995338 0.90737564],[0.90581884 0.87078189],[858 583]
0.5999999999999999,0.9039557929017623,0.8942933658039665,0.9236155940985598,0.8173831865267794,0.9097848716169327,[0.9811543  0.80743243],[0.87961985 0.96761134],[0.92761693 0.88029466],[947 494]
0.6499999999999999,0.8636841434201148,0.8524659110025962,0.8782527019444242,0.7302634680169477,0.8882720333102012,[0.94411178 0.76082005],[0.90009515 0.85641026],[0.92157818 0.80579011],[1051  390]
0.7,0.8995048469209848,0.8765662392624127,0.9314404871854075,0.8061412326012164,0.9278278972935462,[0.98224299 0.77088949],[0.92517606 0.93770492],[0.95285585 0.84615385],[1136  305]
0.7499999999999998,0.8459468656644502,0.807647741969541,0.918477363300183,0.7176172124041302,0.9014573213046495,[0.98812785 0.62716763],[0.89347647 0.94347826],[0.93842151 0.75347222],[1211  230]
0.7999999999999998,0.8051036224468422,0.8011126860382707,0.8092512616459627,0.61030968550381,0.9215822345593337,[0.95764706 0.64457831],[0.95390625 0.66459627],[0.95577299 0.65443425],[1280  161]
