Threshold	Macro_F1	Precision	Recall	MCC	Accuracy	Precisions	Recalls	F1s	Support
0.2	0.7209527498063517	0.7277564921243083	0.7147193096874529	0.4422836952263435	0.8959056210964608	[0.51724138 0.9382716 ]	[0.48387097 0.94556765]	[0.5       0.9419055]	[ 155 1286]
0.25	0.8084544229578644	0.8130113296233066	0.8041198434638999	0.6170671165034388	0.8986814712005552	[0.68918919 0.93683347]	[0.66521739 0.9430223 ]	[0.67699115 0.9399177 ]	[ 230 1211]
0.3	0.8082268666388928	0.8257672848886529	0.7943438103115522	0.619314407741254	0.8723108952116586	[0.74911661 0.90241796]	[0.65230769 0.93637993]	[0.69736842 0.91908531]	[ 325 1116]
0.35	0.821222779227178	0.8333739177489178	0.8117716743725991	0.6447838227770086	0.8549618320610687	[0.78701299 0.87973485]	[0.70465116 0.91889219]	[0.74355828 0.89888728]	[ 430 1011]
0.39999999999999997	0.8257693127418191	0.8232065195301386	0.8288687891345525	0.6520507241565484	0.8362248438584317	[0.76618705 0.88022599]	[0.80075188 0.8569857 ]	[0.78308824 0.86845039]	[532 909]
0.44999999999999996	0.8626453859729806	0.8676113223456043	0.860053172840949	0.7276252414060185	0.8653712699514227	[0.88026981 0.85495283]	[0.80930233 0.91080402]	[0.84329564 0.88199513]	[645 796]
0.49999999999999994	0.8860790491579479	0.8914727099496393	0.8882791406310268	0.7797453107258681	0.8861901457321305	[0.94623656 0.83670886]	[0.82684564 0.94971264]	[0.88252149 0.88963661]	[745 696]
0.5499999999999999	0.8652399915833444	0.8648753083564601	0.8784910058494964	0.7432416093558857	0.8667591950034698	[0.95244565 0.77730496]	[0.81701632 0.93996569]	[0.87954831 0.85093168]	[858 583]
0.5999999999999999	0.8722337680308943	0.8635127986891088	0.8907449050699203	0.7537659424926995	0.8799444829979182	[0.95636792 0.77065767]	[0.8563886  0.92510121]	[0.90362117 0.84084637]	[947 494]
0.6499999999999999	0.851963128953964	0.836728810301749	0.876139939983898	0.7117784894129613	0.8757807078417765	[0.95041322 0.7230444 ]	[0.8753568  0.87692308]	[0.91134225 0.79258401]	[1051  390]
0.7	0.8601007093667479	0.8336034293481103	0.9051979912260448	0.7353242534772643	0.8959056210964608	[0.97678917 0.69041769]	[0.88908451 0.92131148]	[0.93087558 0.78932584]	[1136  305]
0.7499999999999998	0.8416592772796153	0.8259805831547503	0.8604477076077981	0.6855624083124248	0.9104788341429563	[0.95847458 0.69348659]	[0.93393889 0.78695652]	[0.94604768 0.73727088]	[1211  230]
0.7999999999999998	0.8456287266825915	0.8266074195214324	0.868257472826087	0.6936155215080245	0.9347675225537821	[0.97213376 0.68108108]	[0.95390625 0.7826087 ]	[0.96293375 0.7283237 ]	[1280  161]
